fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,27882.4150562286,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31631.7706108093,31917.4666404724,32936.4693164825,33237.4844551086,33361.5461962155,NaN,34755.8307647705,35432.817697525,NaN
37683.8562488556,37951.5709877014,38971.5569019318,NaN,39162.6186430386,39311.5656375885,40042.5789356232,40643.5849666595,NaN
43701.9453048706,43873.649597168,45022.6595401764,NaN,45213.7212812833,45400.96616745,46133.9862346649,46735.6886863708,NaN
49636.7216110229,49849.7135639191,51023.0536460876,NaN,51247.1153871945,51405.7431221008,52136.7561817169,52736.7792129517,NaN
57058.1412315369,57169.7981357574,58228.8188934326,NaN,58452.8806345395,58675.1599311829,59408.1802368164,60009.8416805267,NaN
62942.9051876068,63049.8929023743,64497.2143173218,64748.2173442841,64872.2790853909,NaN,66267.2598361969,66944.2467689514,NaN
68810.3024959564,69003.9613246918,70064.2929077148,NaN,70238.3546488217,70437.3154640198,71168.3285236359,71769.3755626678,NaN
74762.0360851288,74963.0677700043,76065.3834342957,76366.3983345032,76490.46007561,76471.3788032532,77204.3991088867,77806.1013221741,NaN
80730.153799057,80907.142162323,81999.4633197784,82150.4828929901,82274.544634097,NaN,83672.4746227264,84248.4951019287,NaN
86664.2339229584,86914.2127037048,88000.5538463593,NaN,88141.6155874661,88382.5469017029,89115.5669689178,89717.2694206238,NaN
92681.6265583038,92919.317483902,93935.6169700623,94135.6246471405,94259.6863882474,NaN,95655.650138855,96231.6706180573,NaN
98683.3724975586,98761.4011764526,100036.731719971,NaN,100193.793461078,100484.424591064,101215.396881104,101815.419912338,NaN
104534.467458725,104626.463651657,105803.776979446,106154.804229736,106278.865970843,106179.78978157,106912.809848785,107514.512300491,NaN
110400.840520859,110540.555238724,111572.54242897,111872.574329376,111996.636070483,NaN,113391.90363884,114068.890571594,NaN
116301.947832108,116510.638952255,117640.643596649,NaN,117831.705337756,118036.972522736,118767.985582352,119368.66402626,NaN
122270.02453804,122532.701015472,123724.022626877,NaN,123915.084367984,124203.049898148,124934.062957764,125534.741401672,NaN
128288.113594055,128491.766691208,129659.126758575,NaN,129850.188499682,130037.105560303,130770.125865936,131371.828079224,NaN
134256.845712662,134378.865480423,135627.203464508,NaN,135868.265205615,136009.892702103,136740.906000137,137340.888023376,NaN
140140.258312225,140327.936887741,141394.944906235,NaN,141619.006647342,141687.276363373,142420.296669006,143021.999120712,NaN
146342.339515686,146672.026634216,147696.354150772,NaN,147903.415891879,148045.374393463,148779.049873352,149379.072904587,NaN
152443.413496017,152923.095941544,153981.461524963,154282.435417175,154406.497158282,154363.454341888,155096.474647522,155698.136091232,NaN
158695.506811142,158954.210281372,160350.536584854,160602.235794067,160726.297535174,NaN,162119.558095932,162696.561574936,NaN
164713.595867157,164903.28168869,165984.584569931,NaN,166158.646311038,166380.299091339,167111.312389374,167711.294412613,NaN
170664.674282074,170826.343297958,171919.360876083,NaN,172093.42261719,172421.694278717,173154.714584351,173756.376028061,NaN
176600.433588028,176738.427877426,177752.761363983,NaN,177976.82310509,178047.755241394,178778.76830101,179379.487752914,NaN
182500.844478607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184656.856060028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187581.891536713,187885.568857193,188935.906171799,189337.928533554,189461.990274661,NaN,190855.947256088,191431.967735291,NaN
