fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
13765.9606933594,13773.6201286316,14964.9827480316,15163.9664173126,15242.7292149213,NaN,16690.9961700439,17492.9928779602,NaN
42918.2574748993,43058.9551925659,44066.9808387756,NaN,44178.7436363843,44319.2944526672,45050.3075122833,45650.985956192,NaN
48961.3320827484,49108.0098152161,50127.340555191,NaN,50239.1033527997,50324.3579864502,51057.3782920837,51659.0397357941,NaN
55038.4035110474,55219.0780639648,56454.1039466858,56719.4018363953,56798.1646340039,NaN,NaN,NaN,56846.4188575745
61131.4902305603,61234.1768741608,62263.5016441345,NaN,62392.2644417432,62461.5023136139,63194.4816112518,63796.1840629578,NaN
67141.5510177612,67294.2090034485,68390.5444145203,NaN,68519.3072121289,68802.561044693,69533.5741043091,70134.2933177948,NaN
73202.6069164276,73502.3114681244,74583.6553573608,NaN,74712.4181549695,74787.6360416412,75518.6083316803,76119.3277835846,NaN
79411.6516113281,79558.3703517914,81010.6890201569,NaN,81139.4518177655,81211.6796970367,81943.0205821991,82544.3952083588,NaN
85472.7485179901,85604.434967041,86620.7344532013,NaN,86749.49725081,87033.7340831757,87764.7471427917,88365.466594696,NaN
91515.8231258392,91602.4944782257,92647.8345394135,92913.8288497925,92992.5916474011,NaN,94440.8175945282,95022.8590965271,NaN
97525.8839130402,97626.5635490417,98691.8921470642,NaN,98837.6549446729,98943.8781738281,99676.8982410431,100278.600692749,NaN
103535.944700241,103706.624984741,104818.648099899,NaN,104964.410897508,105018.655776978,105748.972415924,106349.97844696,NaN
109613.015890121,109746.668577194,111111.701488495,NaN,111257.464286104,111335.015296936,112068.03560257,112669.737815857,NaN
115657.073497772,115817.759752274,116839.097261429,NaN,116967.860059037,117046.068191528,117779.088258743,118380.790710449,NaN
121733.120918274,121835.807561874,122865.132570267,122915.840864182,122994.60366179,NaN,124440.167427063,125021.184921265,NaN
127743.878126144,127893.873691559,129075.201034546,NaN,129153.963832155,129307.198286057,130038.211584091,130638.930797577,NaN
133803.951025009,133901.968240738,134936.29026413,NaN,135015.053061738,135189.300060272,135922.27935791,136523.981809616,NaN
139814.339399338,139962.000370026,140979.364871979,NaN,141058.127669587,141218.366384506,141949.338436127,142550.057888031,NaN
145874.412536621,146005.074977875,147022.398471832,NaN,147101.161269441,147251.405715942,147984.426021576,148586.128234863,NaN
151917.446136475,152020.132780075,153316.475868225,NaN,153395.238665834,153522.463560104,154255.483865738,154857.186317444,NaN
157927.547931671,158034.207582474,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159293.563842773,159438.234567642,160475.546598434,NaN,160554.309396043,160715.572118759,161448.551416397,162050.253868103,NaN
165636.629343033,165802.312612534,166884.63973999,NaN,166963.402537599,167273.309230804,168004.322290421,168604.345321655,NaN
171812.701225281,171911.373853683,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173129.40120697,173233.398675919,174326.703071594,NaN,174505.465869203,174556.693315506,175287.706613541,175888.425827026,NaN
179138.76581192,179244.442462921,180819.764137268,NaN,180998.526934877,181054.792642593,181787.771940231,182389.474153519,NaN
185164.841890335,185298.535346985,186446.848869324,NaN,186625.611666932,186818.84765625,187551.867723465,188153.529167175,NaN
191208.899497986,191350.580215454,192390.923261642,NaN,192569.686059251,192616.899490356,193349.919557571,193951.622009277,NaN
197268.972396851,197361.665010452,198384.640932083,NaN,198563.403729692,198713.95945549,199444.972515106,200045.691728592,NaN
203279.033184052,203444.716453552,204461.056947708,NaN,204639.819745317,204798.034906387,205529.047966003,206129.726409912,NaN
209356.10461235,209493.771076202,210738.09504509,NaN,210916.857842698,210966.815710068,211697.787761688,212297.810792923,NaN
215399.834632874,215505.839109421,216515.17534256,216781.86583519,216860.628632798,216813.15946579,217546.179533005,218147.881984711,NaN
221426.238298416,221613.91711235,222625.915765762,NaN,222754.678563371,222934.221744537,223667.241811752,224268.944263458,NaN
227536.978960037,227613.983631134,NaN,NaN,NaN,NaN,NaN,NaN,NaN
228835.984230042,228987.003803253,230000.313282013,230050.325393677,230129.088191285,NaN,NaN,NaN,231339.336633682
240605.430603027,240828.130245209,241987.462043762,NaN,242066.224841371,242283.438920975,243016.459226608,243618.161678314,NaN
246749.512672424,246875.17786026,247964.509010315,NaN,248043.271807924,248236.524581909,248967.537641525,249568.216085434,NaN
252792.546272278,252953.273296356,254107.567071915,254241.588115692,254320.350913301,NaN,NaN,NaN,254361.600875854
258869.617700577,259001.303911209,260068.639755249,NaN,260164.402552858,260502.651929855,261235.67199707,261837.333440781,NaN
264912.692070007,265054.372787476,266394.706964493,NaN,266490.469762101,266594.386816025,267327.734708786,267928.413152695,NaN
270972.765207291,271123.456954956,272271.770477295,NaN,272367.533274904,NaN,NaN,NaN,272603.79242897
277034.517526627,277179.515838623,278181.848049164,NaN,278277.610846772,278400.861024857,279131.874322891,279732.552528381,NaN
