monkey_labels,trial_labels,epoch_labels,data
jou,1_no-stop,1_stopping,15.99625
jou,1_no-stop,1_stopping,15.92686
dar,1_no-stop,1_stopping,14.31098
dar,1_no-stop,1_stopping,14.57256
jou,1_no-stop,1_stopping,18.73023
dar,1_no-stop,1_stopping,19.80653
dar,1_no-stop,1_stopping,20.60265
jou,1_no-stop,1_stopping,13.12566
jou,1_no-stop,1_stopping,14.07653
dar,1_no-stop,1_stopping,18.16522
dar,1_no-stop,1_stopping,10.20771
dar,1_no-stop,1_stopping,24.4734
dar,1_no-stop,1_stopping,21.03505
dar,1_no-stop,1_stopping,20.87051
dar,1_no-stop,1_stopping,20.68297
dar,1_no-stop,1_stopping,21.79845
dar,1_no-stop,1_stopping,13.54094
dar,1_no-stop,1_stopping,18.85249
dar,1_no-stop,1_stopping,14.25016
jou,1_no-stop,1_stopping,13.75896
dar,1_no-stop,1_stopping,19.02076
jou,1_no-stop,1_stopping,17.82867
jou,1_no-stop,1_stopping,16.83284
jou,1_no-stop,1_stopping,20.23934
dar,1_no-stop,1_stopping,18.08171
jou,1_no-stop,1_stopping,22.19234
jou,1_no-stop,1_stopping,19.44693
jou,1_no-stop,1_stopping,20.40217
jou,1_no-stop,1_stopping,13.77583
dar,1_no-stop,1_stopping,15.74864
dar,1_no-stop,1_stopping,36.6429
jou,1_no-stop,1_stopping,35.8838
dar,1_no-stop,1_stopping,19.15996
dar,1_no-stop,1_stopping,20.28919
jou,1_no-stop,1_stopping,19.7244
jou,1_no-stop,1_stopping,17.59654
jou,1_no-stop,1_stopping,12.4583
jou,1_no-stop,1_stopping,13.58183
jou,1_no-stop,1_stopping,21.97889
jou,1_no-stop,1_stopping,19.20712
jou,1_no-stop,1_stopping,19.41982
jou,1_no-stop,1_stopping,16.35387
jou,1_no-stop,1_stopping,18.75933
jou,1_no-stop,1_stopping,17.56361
jou,1_no-stop,1_stopping,15.64668
dar,1_no-stop,1_stopping,17.79395
dar,1_no-stop,1_stopping,14.03841
dar,1_no-stop,1_stopping,19.88418
dar,1_no-stop,1_stopping,21.09027
dar,1_no-stop,1_stopping,15.10423
dar,1_no-stop,1_stopping,-0.1244888
dar,1_no-stop,1_stopping,16.38732
dar,1_no-stop,1_stopping,24.15334
dar,1_no-stop,1_stopping,23.4233
dar,1_no-stop,1_stopping,5.191124
dar,1_no-stop,1_stopping,8.914246
dar,1_no-stop,1_stopping,14.23476
jou,1_no-stop,1_stopping,13.69457
jou,1_no-stop,1_stopping,15.56738
jou,1_no-stop,1_stopping,13.13319
dar,1_no-stop,1_stopping,15.02782
dar,1_no-stop,1_stopping,8.411003
jou,1_no-stop,1_stopping,-13.99632
jou,1_no-stop,1_stopping,13.29884
dar,1_no-stop,1_stopping,12.6308
dar,1_no-stop,1_stopping,19.95176
jou,1_no-stop,1_stopping,19.26757
jou,1_no-stop,1_stopping,18.75955
dar,1_no-stop,1_stopping,21.17969
dar,1_no-stop,1_stopping,16.4423
dar,1_no-stop,1_stopping,14.69933
jou,1_no-stop,1_stopping,7.57785
jou,1_no-stop,1_stopping,10.07212
dar,1_no-stop,1_stopping,30.07559
jou,1_no-stop,1_stopping,14.04423
jou,1_no-stop,1_stopping,24.07333
jou,1_no-stop,1_stopping,15.35371
jou,1_no-stop,1_stopping,22.56402
jou,1_no-stop,1_stopping,28.02295
jou,1_no-stop,1_stopping,15.57948
dar,1_no-stop,1_stopping,24.86059
dar,1_no-stop,1_stopping,16.86651
jou,1_no-stop,1_stopping,28.50983
jou,1_no-stop,1_stopping,21.98923
jou,1_no-stop,1_stopping,20.72319
jou,1_no-stop,1_stopping,10.70925
dar,1_no-stop,1_stopping,18.77963
jou,1_no-stop,1_stopping,11.0864
dar,1_no-stop,1_stopping,20.2198
dar,1_no-stop,1_stopping,16.20632
jou,1_no-stop,1_stopping,7.793869
dar,1_no-stop,1_stopping,15.72215
jou,1_no-stop,1_stopping,18.55571
jou,1_no-stop,1_stopping,9.289719
dar,1_no-stop,1_stopping,2.261543
jou,1_no-stop,1_stopping,19.83952
dar,1_no-stop,1_stopping,4.969696
jou,1_no-stop,1_stopping,-2.312386
dar,1_no-stop,1_stopping,18.52374
dar,1_no-stop,1_stopping,22.75305
jou,1_no-stop,1_stopping,20.52182
jou,1_no-stop,1_stopping,8.047417
jou,1_no-stop,1_stopping,31.85696
jou,1_no-stop,1_stopping,29.38423
jou,2_non-canc,1_stopping,7.058739
jou,2_non-canc,1_stopping,17.60985
dar,2_non-canc,1_stopping,29.58644
dar,2_non-canc,1_stopping,12.50364
jou,2_non-canc,1_stopping,16.26859
dar,2_non-canc,1_stopping,15.12153
dar,2_non-canc,1_stopping,17.88629
jou,2_non-canc,1_stopping,60.82767
jou,2_non-canc,1_stopping,20.16679
dar,2_non-canc,1_stopping,17.29453
dar,2_non-canc,1_stopping,24.7844
dar,2_non-canc,1_stopping,22.33283
dar,2_non-canc,1_stopping,14.49299
dar,2_non-canc,1_stopping,27.77995
dar,2_non-canc,1_stopping,17.2123
dar,2_non-canc,1_stopping,25.98603
dar,2_non-canc,1_stopping,18.80792
dar,2_non-canc,1_stopping,20.53568
dar,2_non-canc,1_stopping,16.70732
jou,2_non-canc,1_stopping,21.75925
dar,2_non-canc,1_stopping,21.1234
jou,2_non-canc,1_stopping,19.12801
jou,2_non-canc,1_stopping,28.351
jou,2_non-canc,1_stopping,13.68597
dar,2_non-canc,1_stopping,20.07612
jou,2_non-canc,1_stopping,16.50977
jou,2_non-canc,1_stopping,20.26743
jou,2_non-canc,1_stopping,17.65404
jou,2_non-canc,1_stopping,4.657043
dar,2_non-canc,1_stopping,0.9473572
dar,2_non-canc,1_stopping,19.96331
jou,2_non-canc,1_stopping,11.20918
dar,2_non-canc,1_stopping,18.32093
