fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
NaN,13071.8524456024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14629.8480033875,14746.8707561493,16301.1798858643,16602.1947860718,16744.7187590782,NaN,18122.9166984558,18699.2239952087,NaN
20513.9157772064,20606.9359779358,22152.2748470306,NaN,22411.7988200371,22504.2850971222,23236.2811565399,23837.9836082458,NaN
26364.3145561218,26761.0120773315,27803.0345439911,NaN,28062.5585169975,28193.3424472809,28924.355506897,29525.0749588013,NaN
32516.4246559143,32715.0807380676,34055.1280975342,NaN,34314.6520705406,34506.4253807068,35238.4624481201,35840.1238918304,NaN
38485.1977825165,38491.1777973175,39737.5087738037,NaN,39997.0327468101,40129.5368671417,40862.5161647797,41464.2186164856,NaN
44251.5876293182,44948.2760429382,46190.5930042267,NaN,46450.1169772331,46591.9189453125,47324.6114253998,47926.3138771057,NaN
50704.3440341949,50868.3478832245,52425.6880283356,NaN,52685.212001342,52825.7033824921,53558.6824417114,54160.3848934174,NaN
56621.7532157898,56729.4371128082,57825.77252388,NaN,58085.2964968864,NaN,NaN,NaN,58520.7817554474
68089.8978710175,68259.5951557159,69275.8946418762,NaN,69535.4186148826,69721.9080924988,70452.9213905334,71053.6406040192,NaN
74023.9779949188,74028.6474227905,75428.0047416687,NaN,75687.5287146751,75748.6805915833,76478.9974689484,77079.7166824341,NaN
79791.7194366455,79880.7253837585,80911.0741615295,NaN,81170.598134536,81374.0861415863,82107.1062088013,82708.7676525116,NaN
85642.8143978119,85826.8067836761,86879.1511058807,87180.1660060883,87322.6899790947,NaN,88701.8709182739,89277.8506278992,NaN
91593.1963920593,91797.9145050049,92813.9274120331,93164.2172336578,93306.7412066643,NaN,94684.2429637909,95260.9596252441,NaN
97561.2733364105,98075.9766101837,99149.3334770203,NaN,99391.8574500267,99453.0107975006,100183.327674866,100784.006118774,NaN
103847.076892853,104186.061859131,105267.405748367,105568.420886993,105710.94486,NaN,107087.422370911,107664.425849915,NaN
