fixSpotOn,fixation,target,stopSignal,ssrt,saccade,tone,reward,timeout
18272.3388671875,18428.0278682709,19504.3747425079,NaN,19686.1616603487,19822.3471641541,20555.3674697876,21157.069683075,NaN
23251.0678768158,23427.1140098572,24781.4154624939,24982.1193218231,25080.9062396639,NaN,26508.4528923035,27060.142993927,NaN
28245.1567649841,28389.1313076019,29443.4826374054,NaN,29575.2695552462,29692.1508312225,30424.1878986359,31025.1939296722,NaN
34204.5090198517,34361.2220287323,35436.5448951721,NaN,35568.3318130129,35738.5430335999,36469.8429107666,37071.2585449219,NaN
40165.581703186,40297.2681522369,41646.6133594513,NaN,41778.4002772921,41940.6242370605,42673.6035346985,43275.3059864044,NaN
46108.6728572845,46251.3365745544,47441.3475990295,NaN,47573.1345168703,47823.9958286285,48555.9918880463,49157.3667526245,NaN
52068.7215328217,52314.3997192383,53334.7132205963,NaN,53466.5001384371,53618.7298297882,54351.7501354218,54953.4933567047,NaN
58128.794670105,58351.4940738678,59611.5055084229,NaN,59743.2924262636,59859.8051071167,60593.1119918823,61194.486618042,NaN
64155.8537483215,64231.547832489,65254.8515796661,NaN,65386.6384975069,65627.8741359711,66358.8874340057,66959.5656394958,NaN
70032.9174995422,70173.6149787903,71231.9395542145,NaN,71363.7264720553,71654.9334526062,72387.9535198212,72989.6559715271,NaN
75992.9661750793,76262.6876831055,77341.9835567474,NaN,77473.7704745882,77700.0150680542,78431.0281276703,79031.706571579,NaN
82070.7337856293,82635.7359886169,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83269.059419632,83504.7433376312,84601.078748703,NaN,84766.8656665438,85003.1011104584,85736.0804080963,86337.7826213837,NaN
89329.1325569153,90302.8335571289,91377.1324157715,NaN,91575.9193336123,91593.48320961,92326.4625072479,92927.8371334076,NaN
96122.1845149994,96590.8899307251,97603.9125919342,97936.2211227417,98035.0080405825,NaN,99464.9302959442,100015.268802643,NaN
102398.280620575,102993.961811066,104396.309375763,NaN,104562.096293604,104633.303880692,105364.317178726,105964.995622635,NaN
108808.356761932,109042.033672333,110073.365449905,110473.380804062,110572.167721903,NaN,112000.369548798,112552.387475967,NaN
114852.086782455,115007.120370865,116200.407981873,NaN,116382.194899713,116475.413322449,117208.433628082,117810.136079788,NaN
120829.174757004,121215.181827545,122393.478155136,NaN,122592.265072977,122674.504518509,123407.524824142,124009.186267853,NaN
127021.548509598,127140.250444412,128220.57056427,NaN,128419.357482111,128662.569999695,129395.59006691,129997.25151062,NaN
132965.622663498,133125.284910202,134397.625207901,NaN,134546.412125742,134632.612705231,135365.633010864,135967.33546257,NaN
138942.669868469,139089.347600937,140390.687704086,NaN,140539.474621927,NaN,NaN,NaN,141092.701196671
144902.759313583,145106.412410736,146484.757423401,146617.754459381,146716.541377222,NaN,148144.784212112,148696.802139282,NaN
150913.475513458,151135.47873497,152327.824354172,NaN,152443.611272013,152575.509548187,153306.522607803,153906.545639038,NaN
156956.877708435,157100.565433502,158322.56603241,158587.904930115,158686.691847956,158595.892190933,159328.912258148,159930.573701859,NaN
162917.622804642,163079.619407654,164098.950147629,NaN,164247.73706547,164405.658483505,165136.67178154,165736.653804779,NaN
168894.71077919,169061.70463562,170126.009225845,NaN,170274.796143686,170377.012252808,171110.032320023,171711.734771729,NaN
174870.078325272,174998.774766922,176036.086797714,NaN,176184.873715555,176425.780057907,177156.793355942,177756.775379181,NaN
180814.807891846,180956.816196442,182046.147584915,NaN,182194.934502756,182320.16992569,183053.149223328,183654.851436615,NaN
186774.897575378,186920.879125595,187973.2234478,NaN,188122.01036564,188210.914134979,188941.927433014,189541.909456253,NaN
192734.946250916,192832.963466644,193933.271884918,NaN,194082.058802759,194190.295934677,194923.275232315,195524.977684021,NaN
198645.351409912,198761.02232933,199810.335636139,200010.343313217,200109.130231058,NaN,201537.373065948,202089.390993118,NaN
204638.413667679,204812.084197998,205855.089664459,NaN,206036.8765823,206236.713886261,NaN,NaN,206592.410564423
216226.530313492,216400.200605392,217409.209251404,217674.548149109,217773.33506695,NaN,219201.57790184,219903.550386429,NaN
222220.288991928,222347.265005112,223351.604223251,NaN,223500.391141092,223733.310461044,224464.32352066,225064.3055439,NaN
228164.363145828,228355.359792709,229445.714950562,NaN,229627.501868402,229847.696304321,230580.675601959,231182.377815247,NaN
234174.423933029,234320.405483246,235605.730295181,NaN,235787.517213022,235967.73481369,236698.747873306,237299.467086792,NaN
240133.776426315,240387.482643127,241415.8244133,241615.791082382,241714.578000223,NaN,243141.837835312,243844.506502151,NaN
246211.544036865,246343.558073044,247858.87336731,248259.584903717,248358.371821558,248319.878101349,249050.891160965,249651.569604874,NaN
252153.938770294,252523.602962494,253718.938589096,NaN,253900.725506937,254392.935276031,255123.948574066,255724.667787552,NaN
258330.993652344,258433.680295944,259745.997667313,NaN,259927.784585153,NaN,NaN,NaN,260414.014339447
264241.070985794,264406.754255295,265423.750162125,NaN,265605.537079965,265716.081619263,266449.101686478,267050.763130188,NaN
270218.118190765,270594.82717514,271617.147922516,NaN,271798.934840357,272035.840988159,272766.854047775,273366.836071014,NaN
276411.88454628,276545.864582062,277643.224000931,NaN,277825.010918772,277871.207237244,278602.220535278,279202.898979187,NaN
282355.26227951,282825.933694839,284103.271245956,284369.265556335,284468.052474176,NaN,285896.991729736,286447.289228439,NaN
288631.31737709,289038.009166718,290080.359458923,290413.364171982,290512.151089823,NaN,291940.352916718,292492.370843887,NaN
294859.080553055,295532.094478607,296540.406703949,296940.094470978,297038.881388819,NaN,298466.42780304,299018.118143082,NaN
