monkey_labels,trial_labels,epoch_labels,data
jou,1_no-stop,1_stopping,1.608833
jou,1_no-stop,1_stopping,2.650978
dar,1_no-stop,1_stopping,-0.297699
dar,1_no-stop,1_stopping,-0.9637756
jou,1_no-stop,1_stopping,4.846718
dar,1_no-stop,1_stopping,7.282928
dar,1_no-stop,1_stopping,5.504898
jou,1_no-stop,1_stopping,0.7121582
jou,1_no-stop,1_stopping,2.385498
dar,1_no-stop,1_stopping,3.998985
dar,1_no-stop,1_stopping,-1.847389
dar,1_no-stop,1_stopping,9.873856
dar,1_no-stop,1_stopping,6.389214
dar,1_no-stop,1_stopping,5.610695
dar,1_no-stop,1_stopping,6.76371
dar,1_no-stop,1_stopping,5.911804
dar,1_no-stop,1_stopping,-0.2341995
dar,1_no-stop,1_stopping,2.267876
dar,1_no-stop,1_stopping,-0.3982391
jou,1_no-stop,1_stopping,0.6434937
dar,1_no-stop,1_stopping,3.841057
jou,1_no-stop,1_stopping,1.853859
jou,1_no-stop,1_stopping,2.082802
jou,1_no-stop,1_stopping,4.977295
dar,1_no-stop,1_stopping,3.009865
jou,1_no-stop,1_stopping,7.455231
jou,1_no-stop,1_stopping,3.887581
jou,1_no-stop,1_stopping,4.682137
jou,1_no-stop,1_stopping,-0.03559875
dar,1_no-stop,1_stopping,0.5378571
dar,1_no-stop,1_stopping,30.61998
jou,1_no-stop,1_stopping,34.77379
dar,1_no-stop,1_stopping,4.444717
dar,1_no-stop,1_stopping,4.218636
jou,1_no-stop,1_stopping,3.690338
jou,1_no-stop,1_stopping,2.480125
jou,1_no-stop,1_stopping,-0.9629822
jou,1_no-stop,1_stopping,-0.773407
jou,1_no-stop,1_stopping,7.49086
jou,1_no-stop,1_stopping,7.077698
jou,1_no-stop,1_stopping,3.543915
jou,1_no-stop,1_stopping,1.422516
jou,1_no-stop,1_stopping,3.384995
jou,1_no-stop,1_stopping,3.092484
jou,1_no-stop,1_stopping,-0.6383896
dar,1_no-stop,1_stopping,3.401062
dar,1_no-stop,1_stopping,-0.2201614
dar,1_no-stop,1_stopping,3.090134
dar,1_no-stop,1_stopping,6.739113
dar,1_no-stop,1_stopping,2.78125
dar,1_no-stop,1_stopping,-9.797188
dar,1_no-stop,1_stopping,7.98745
dar,1_no-stop,1_stopping,10.20842
dar,1_no-stop,1_stopping,10.75002
dar,1_no-stop,1_stopping,-6.865601
dar,1_no-stop,1_stopping,-3.365562
dar,1_no-stop,1_stopping,3.567902
jou,1_no-stop,1_stopping,0.07447052
jou,1_no-stop,1_stopping,0.1269684
jou,1_no-stop,1_stopping,-2.071037
dar,1_no-stop,1_stopping,2.960503
dar,1_no-stop,1_stopping,-4.044685
jou,1_no-stop,1_stopping,-25.36356
jou,1_no-stop,1_stopping,-1.661377
dar,1_no-stop,1_stopping,-0.9044266
dar,1_no-stop,1_stopping,2.951141
jou,1_no-stop,1_stopping,4.055344
jou,1_no-stop,1_stopping,3.854858
dar,1_no-stop,1_stopping,3.078804
dar,1_no-stop,1_stopping,1.415375
dar,1_no-stop,1_stopping,0.05976868
jou,1_no-stop,1_stopping,0.7838821
jou,1_no-stop,1_stopping,0.0851593
dar,1_no-stop,1_stopping,18.69394
jou,1_no-stop,1_stopping,-0.5992203
jou,1_no-stop,1_stopping,3.908279
jou,1_no-stop,1_stopping,0.6787262
jou,1_no-stop,1_stopping,6.296158
jou,1_no-stop,1_stopping,6.931946
jou,1_no-stop,1_stopping,2.172348
dar,1_no-stop,1_stopping,4.277214
dar,1_no-stop,1_stopping,1.444008
jou,1_no-stop,1_stopping,11.1348
jou,1_no-stop,1_stopping,8.333221
jou,1_no-stop,1_stopping,1.737358
jou,1_no-stop,1_stopping,-2.861649
dar,1_no-stop,1_stopping,3.563644
jou,1_no-stop,1_stopping,0.9059906
dar,1_no-stop,1_stopping,4.640213
dar,1_no-stop,1_stopping,2.171623
jou,1_no-stop,1_stopping,-4.28125
dar,1_no-stop,1_stopping,1.742104
jou,1_no-stop,1_stopping,2.478775
jou,1_no-stop,1_stopping,-3.603722
dar,1_no-stop,1_stopping,-8.219566
jou,1_no-stop,1_stopping,6.19223
dar,1_no-stop,1_stopping,-5.531387
jou,1_no-stop,1_stopping,-9.275406
dar,1_no-stop,1_stopping,4.917633
dar,1_no-stop,1_stopping,5.358627
jou,1_no-stop,1_stopping,6.455208
jou,1_no-stop,1_stopping,-6.080566
jou,1_no-stop,1_stopping,9.716324
jou,1_no-stop,1_stopping,8.350037
jou,2_non-canc,1_stopping,-5.618584
jou,2_non-canc,1_stopping,4.497276
dar,2_non-canc,1_stopping,14.46162
dar,2_non-canc,1_stopping,-2.178764
jou,2_non-canc,1_stopping,1.770927
dar,2_non-canc,1_stopping,0.3320084
dar,2_non-canc,1_stopping,3.597466
jou,2_non-canc,1_stopping,53.50026
jou,2_non-canc,1_stopping,5.836784
dar,2_non-canc,1_stopping,4.154839
dar,2_non-canc,1_stopping,11.73248
dar,2_non-canc,1_stopping,6.69268
dar,2_non-canc,1_stopping,-1.357735
dar,2_non-canc,1_stopping,11.18897
dar,2_non-canc,1_stopping,17.85567
dar,2_non-canc,1_stopping,9.648224
dar,2_non-canc,1_stopping,4.801178
dar,2_non-canc,1_stopping,3.201744
dar,2_non-canc,1_stopping,2.046112
jou,2_non-canc,1_stopping,8.972206
dar,2_non-canc,1_stopping,7.006409
jou,2_non-canc,1_stopping,1.652977
jou,2_non-canc,1_stopping,11.92727
jou,2_non-canc,1_stopping,-1.416191
dar,2_non-canc,1_stopping,2.965927
jou,2_non-canc,1_stopping,0.928627
jou,2_non-canc,1_stopping,3.812195
jou,2_non-canc,1_stopping,2.296005
jou,2_non-canc,1_stopping,-5.42955
dar,2_non-canc,1_stopping,-10.09458
dar,2_non-canc,1_stopping,3.355011
jou,2_non-canc,1_stopping,-5.062775
dar,2_non-canc,1_stopping,3.654495
dar,2_non-canc,1_stopping,2.01992
jou,2_non-canc,1_stopping,10.80884
jou,2_non-canc,1_stopping,8.250359
jou,2_non-canc,1_stopping,3.493355
jou,2_non-canc,1_stopping,2.706299
jou,2_non-canc,1_stopping,4.77037
jou,2_non-canc,1_stopping,5.729736
jou,2_non-canc,1_stopping,2.872726
jou,2_non-canc,1_stopping,2.742348
jou,2_non-canc,1_stopping,1.406502
jou,2_non-canc,1_stopping,-2.61937
jou,2_non-canc,1_stopping,3.035439
dar,2_non-canc,1_stopping,-1.366577
dar,2_non-canc,1_stopping,-29.97592
dar,2_non-canc,1_stopping,3.172813
dar,2_non-canc,1_stopping,-0.4250107
dar,2_non-canc,1_stopping,-1.962021
dar,2_non-canc,1_stopping,23.35222
dar,2_non-canc,1_stopping,-21.89807
dar,2_non-canc,1_stopping,25.33377
dar,2_non-canc,1_stopping,25.44492
dar,2_non-canc,1_stopping,20.51315
dar,2_non-canc,1_stopping,14.06256
dar,2_non-canc,1_stopping,5.542053
jou,2_non-canc,1_stopping,9.047684
jou,2_non-canc,1_stopping,-8.884338
jou,2_non-canc,1_stopping,-5.731812
dar,2_non-canc,1_stopping,14.46253
dar,2_non-canc,1_stopping,72.89165
jou,2_non-canc,1_stopping,7.445122
jou,2_non-canc,1_stopping,20.97205
dar,2_non-canc,1_stopping,27.41788
dar,2_non-canc,1_stopping,24.302
jou,2_non-canc,1_stopping,18.7241
jou,2_non-canc,1_stopping,7.892014
dar,2_non-canc,1_stopping,30.62384
dar,2_non-canc,1_stopping,18.78753
dar,2_non-canc,1_stopping,21.38739
jou,2_non-canc,1_stopping,5.561684
jou,2_non-canc,1_stopping,4.104492
dar,2_non-canc,1_stopping,13.70865
jou,2_non-canc,1_stopping,17.55804
jou,2_non-canc,1_stopping,-16.60728
jou,2_non-canc,1_stopping,-30.96519
jou,2_non-canc,1_stopping,9.921524
jou,2_non-canc,1_stopping,21.29415
jou,2_non-canc,1_stopping,11.33645
dar,2_non-canc,1_stopping,18.37688
dar,2_non-canc,1_stopping,9.338951
jou,2_non-canc,1_stopping,27.12371
jou,2_non-canc,1_stopping,17.26153
jou,2_non-canc,1_stopping,16.72298
jou,2_non-canc,1_stopping,10.03498
dar,2_non-canc,1_stopping,8.323013
jou,2_non-canc,1_stopping,24.22985
dar,2_non-canc,1_stopping,39.403
dar,2_non-canc,1_stopping,33.78528
jou,2_non-canc,1_stopping,37.14825
dar,2_non-canc,1_stopping,17.96422
jou,2_non-canc,1_stopping,33.39661
jou,2_non-canc,1_stopping,12.75491
dar,2_non-canc,1_stopping,4.167389
jou,2_non-canc,1_stopping,9.748985
dar,2_non-canc,1_stopping,17.83488
jou,2_non-canc,1_stopping,36.25247
dar,2_non-canc,1_stopping,27.54682
dar,2_non-canc,1_stopping,15.98474
jou,2_non-canc,1_stopping,12.50945
jou,2_non-canc,1_stopping,4.985703
jou,2_non-canc,1_stopping,16.59137
jou,2_non-canc,1_stopping,14.42076
jou,3_canc,1_stopping,2.397491
jou,3_canc,1_stopping,4.924049
dar,3_canc,1_stopping,-0.06590271
dar,3_canc,1_stopping,-0.2848892
jou,3_canc,1_stopping,6.138123
dar,3_canc,1_stopping,4.244698
dar,3_canc,1_stopping,5.780983
jou,3_canc,1_stopping,12.38419
jou,3_canc,1_stopping,-2.27935
dar,3_canc,1_stopping,2.553406
dar,3_canc,1_stopping,3.623367
dar,3_canc,1_stopping,7.804527
dar,3_canc,1_stopping,8.54641
dar,3_canc,1_stopping,8.183815
dar,3_canc,1_stopping,4.808769
dar,3_canc,1_stopping,5.25013
dar,3_canc,1_stopping,3.078033
dar,3_canc,1_stopping,5.563995
dar,3_canc,1_stopping,-1.502235
jou,3_canc,1_stopping,0.1982193
dar,3_canc,1_stopping,2.424332
