monkey_labels,trial_labels,epoch_labels,data
jou,1_SSD1,No-stop,0.9125671
jou,1_SSD1,No-stop,1.291946
dar,1_SSD1,No-stop,0.1237869
dar,1_SSD1,No-stop,0.8969269
jou,1_SSD1,No-stop,2.201698
dar,1_SSD1,No-stop,2.227798
dar,1_SSD1,No-stop,2.69574
jou,1_SSD1,No-stop,-3.228363
jou,1_SSD1,No-stop,2.222168
dar,1_SSD1,No-stop,2.665268
dar,1_SSD1,No-stop,0.2458191
dar,1_SSD1,No-stop,5.979202
dar,1_SSD1,No-stop,3.753365
dar,1_SSD1,No-stop,3.792038
dar,1_SSD1,No-stop,4.966965
dar,1_SSD1,No-stop,2.642273
dar,1_SSD1,No-stop,-4.707062
dar,1_SSD1,No-stop,2.148651
dar,1_SSD1,No-stop,-2.225479
jou,1_SSD1,No-stop,0.8418808
dar,1_SSD1,No-stop,2.250114
jou,1_SSD1,No-stop,0.6747131
jou,1_SSD1,No-stop,2.228912
jou,1_SSD1,No-stop,2.253029
dar,1_SSD1,No-stop,1.669586
jou,1_SSD1,No-stop,4.208664
jou,1_SSD1,No-stop,1.889656
jou,1_SSD1,No-stop,3.102638
jou,1_SSD1,No-stop,-0.5702972
dar,1_SSD1,No-stop,0.4193649
dar,1_SSD1,No-stop,4.419724
jou,1_SSD1,No-stop,3.850388
dar,1_SSD1,No-stop,1.988098
dar,1_SSD1,No-stop,1.412407
jou,1_SSD1,No-stop,2.454391
jou,1_SSD1,No-stop,1.187096
jou,1_SSD1,No-stop,-1.175133
jou,1_SSD1,No-stop,-1.514091
jou,1_SSD1,No-stop,5.42054
jou,1_SSD1,No-stop,2.844551
jou,1_SSD1,No-stop,3.036736
jou,1_SSD1,No-stop,0.437233
jou,1_SSD1,No-stop,2.206253
jou,1_SSD1,No-stop,2.457451
jou,1_SSD1,No-stop,0.7514572
dar,1_SSD1,No-stop,2.095261
dar,1_SSD1,No-stop,3.071236
dar,1_SSD1,No-stop,2.977753
dar,1_SSD1,No-stop,1.967964
dar,1_SSD1,No-stop,-1.60601
dar,1_SSD1,No-stop,3.262856
dar,1_SSD1,No-stop,15.10622
dar,1_SSD1,No-stop,3.977737
dar,1_SSD1,No-stop,20.63181
dar,1_SSD1,No-stop,24.36478
dar,1_SSD1,No-stop,-2.806847
dar,1_SSD1,No-stop,5.747131
jou,1_SSD1,No-stop,-0.677063
